Date,Time,Timezone,Open,High,Low,Close
2025-01-08,09:15:00,+05:30,23746.65,23751.85,23692.35,23702.75
2025-01-08,09:16:00,+05:30,23708.1,23708.65,23692.05,23697.2
2025-01-08,09:17:00,+05:30,23694.7,23702.4,23687.9,23697.7
2025-01-08,09:18:00,+05:30,23697.75,23706.85,23691.25,23697.8
2025-01-08,09:19:00,+05:30,23696.75,23699.8,23676.6,23680.1
2025-01-08,09:20:00,+05:30,23679.5,23680.9,23669.05,23672.75
2025-01-08,09:21:00,+05:30,23672.7,23675.45,23658.55,23662.9
2025-01-08,09:22:00,+05:30,23662.5,23663.4,23652.4,23657.3
2025-01-08,09:23:00,+05:30,23657.6,23661.55,23648.65,23649.35
2025-01-08,09:24:00,+05:30,23650.9,23656.2,23645.45,23654.75
2025-01-08,09:25:00,+05:30,23655.2,23658.5,23646.75,23652.6
2025-01-08,09:26:00,+05:30,23652.55,23665.7,23650.25,23662.05
2025-01-08,09:27:00,+05:30,23661.6,23665.5,23655.5,23661.25
2025-01-08,09:28:00,+05:30,23662.4,23662.85,23646.1,23647.2
2025-01-08,09:29:00,+05:30,23647.4,23647.4,23632.35,23638.7
2025-01-08,09:30:00,+05:30,23637.8,23655.8,23637.8,23647.05
2025-01-08,09:31:00,+05:30,23646.3,23659.1,23644.2,23649.1
2025-01-08,09:32:00,+05:30,23649.05,23649.4,23633.65,23633.65
2025-01-08,09:33:00,+05:30,23635.65,23648.1,23633.25,23642.55
2025-01-08,09:34:00,+05:30,23641.95,23646.85,23628.15,23629.05
2025-01-08,09:35:00,+05:30,23628.0,23652.1,23626.7,23652.1
2025-01-08,09:36:00,+05:30,23653.65,23678.0,23653.65,23666.9
2025-01-08,09:37:00,+05:30,23666.7,23688.2,23659.2,23681.05
2025-01-08,09:38:00,+05:30,23679.85,23681.45,23665.2,23665.9
2025-01-08,09:39:00,+05:30,23664.75,23671.75,23657.65,23669.8
2025-01-08,09:40:00,+05:30,23670.45,23679.75,23665.3,23677.4
2025-01-08,09:41:00,+05:30,23677.9,23697.45,23675.95,23697.45
2025-01-08,09:42:00,+05:30,23696.35,23697.0,23675.4,23676.2
2025-01-08,09:43:00,+05:30,23674.8,23674.8,23651.85,23651.85
2025-01-08,09:44:00,+05:30,23650.4,23657.1,23647.6,23650.2
2025-01-08,09:45:00,+05:30,23650.1,23653.55,23639.35,23640.9
